,Country Name,Growth,GDP Per Capita
68,Haiti,45.00382003351151,1176.75581952799
54,United Kingdom,43.07520903849866,40284.6384553276
107,Mozambique,40.470937557984655,448.60745358072404
78,Jamaica,37.51057797393382,4664.52915035973
31,"Congo, Dem. Rep.",37.411376880909806,556.8131852991751
73,"Iran, Islamic Rep.",36.678960651235926,2282.55186460415
41,Dominica,36.32130103439444,6526.79321540707
20,Barbados,34.81183652229161,15191.1640353411
4,Antigua and Barbuda,32.90661486824531,14449.9965204973
58,"Gambia, The",32.459355530462865,787.006450894821
17,Belize,31.836290016106574,4435.62115419432
100,Mexico,16.609649202309782,8346.70237883571
2,Argentina,9.520120507852914,8441.919439109399
87,Lebanon,8.89117035276239,4891.001470319439
14,"Bahamas, The",5.571394004751329,28607.901375213598
89,Libya,-48.2101804191416,3699.2286208101705
